Name,Current Players,Peak Players,Time,Link,appid,Tags
Counter-Strike: Global Offensive,1020972,1062971,2021-01-06 13:37:39,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/,730,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']"
Dota 2,542142,639575,2021-01-06 13:37:39,https://store.steampowered.com/app/570/Dota_2/,570,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'Tower Defense', 'Fantasy', 'RPG', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']"
PLAYERUNKNOWN'S BATTLEGROUNDS,174295,425430,2021-01-06 13:37:39,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/,578080,"['Survival', 'Shooter', 'Multiplayer', 'Battle Royale', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']"
Cyberpunk 2077,122766,147788,2021-01-06 13:37:39,https://store.steampowered.com/app/1091500/Cyberpunk_2077/,1091500,"['Cyberpunk', 'Open World', 'RPG', 'Futuristic', 'Sci-fi', 'Singleplayer', 'FPS', 'First-Person', 'Atmospheric', 'Exploration', 'Sexual Content', 'Story Rich', 'Nudity', 'Mature', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Immersive Sim']"
Grand Theft Auto V,122556,158237,2021-01-06 13:37:39,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/,271590,"['Open World', 'Action', 'Multiplayer', 'Automobile Sim', 'Crime', 'Third Person', 'First-Person', 'Shooter', 'Adventure', 'Mature', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Atmospheric', 'Co-op', 'Sandbox', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']"
Source SDK Base 2013 Multiplayer,115986,119466,2021-01-06 13:37:39,https://steamcommunity.com/app/243750,243750,
Rust,108140,132528,2021-01-06 13:37:39,https://store.steampowered.com/app/252490/Rust/,252490,"['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'Sandbox', 'PvP', 'Adventure', 'First-Person', 'Action', 'FPS', 'Nudity', 'Co-op', 'Shooter', 'Online Co-Op', 'Indie', 'Early Access', 'Post-apocalyptic', 'Simulation']"
Tom Clancy's Rainbow Six Siege,92472,111328,2021-01-06 13:37:39,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/,359550,"['FPS', 'Hero Shooter', 'Multiplayer', 'Tactical', 'Shooter', 'Team-Based', 'Action', 'First-Person', 'Competitive', 'Co-op', 'Strategy', 'Realistic', 'Online Co-Op', 'Destruction', 'Physics', 'Psychological Horror', 'Atmospheric', 'Singleplayer', 'Massively Multiplayer', 'Casual']"
Rocket League,82781,99645,2021-01-06 13:37:39,https://store.steampowered.com/app/252950/Rocket_League/,252950,"['Multiplayer', 'Soccer', 'Competitive', 'Sports', 'Racing', 'Team-Based', 'Online Co-Op', 'Football', 'Fast-Paced', 'Co-op', 'Action', 'Funny', 'Great Soundtrack', 'Local Multiplayer', 'Split Screen', 'Local Co-Op', 'Singleplayer', '4 Player Local', 'Casual', 'Indie']"
ARK: Survival Evolved,77078,82211,2021-01-06 13:37:39,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/,346110,"['Open World Survival Craft', 'Survival', 'Open World', 'Multiplayer', 'Dinosaurs', 'Crafting', 'Building', 'Adventure', 'Base Building', 'Co-op', 'Action', 'First-Person', 'Sandbox', 'Massively Multiplayer', 'Singleplayer', 'Early Access', 'RPG', 'Dragons', 'Sci-fi', 'Indie']"
Apex Legends,76392,107262,2021-01-06 13:37:39,https://store.steampowered.com/app/1172470/Apex_Legends/,1172470,"['Free to Play', 'Battle Royale', 'First-Person', 'Shooter', 'Multiplayer', 'PvP', 'Hero Shooter', 'Team-Based', 'Action', 'Character Customization', 'Survival', 'Sci-fi', 'Funny', 'Tactical', 'Cyberpunk', 'Lore-Rich', 'Loot', 'FPS', 'Science', 'Cinematic']"
Football Manager 2021,75727,84879,2021-01-06 13:37:39,https://store.steampowered.com/app/1263850/Football_Manager_2021/,1263850,"['Sports', 'Simulation', 'Management', 'Singleplayer', 'Football', 'Multiplayer', 'Soccer', 'Strategy', 'Sexual Content']"
Team Fortress 2,71557,88196,2021-01-06 13:37:39,https://store.steampowered.com/app/440/Team_Fortress_2/,440,"['Free to Play', 'Hero Shooter', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Online Co-Op', 'Cartoony', 'Competitive', 'Trading', 'Co-op', 'Comedy', 'Robots', 'Tactical', 'Cartoon', 'Crafting']"
Stardew Valley,63967,72622,2021-01-06 13:37:39,https://store.steampowered.com/app/413150/Stardew_Valley/,413150,"['Farming Sim', 'Life Sim', 'RPG', 'Pixel Graphics', 'Agriculture', 'Simulation', 'Relaxing', 'Multiplayer', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', 'Great Soundtrack', '2D', 'Cute', 'Dating Sim', 'Fishing']"
Destiny 2,56869,79523,2021-01-06 13:37:39,https://store.steampowered.com/app/1085660/Destiny_2/,1085660,"['PvP', 'PvE', 'Looter Shooter', 'Open World', 'FPS', 'Competitive', 'MMORPG', 'Shooter', 'First-Person', 'Lore-Rich', 'Sci-fi', 'Action', 'Space', 'Loot', 'Atmospheric', 'Co-op', 'Adventure', 'Free to Play', 'Cinematic', 'Massively Multiplayer']"
Among Us,49294,96919,2021-01-06 13:37:39,https://store.steampowered.com/app/945360/Among_Us/,945360,"['Multiplayer', 'Online Co-Op', 'Space', 'Social Deduction', 'Survival', 'Funny', '2D', 'Co-op', 'Psychological', 'Local Multiplayer', 'Cartoony', 'Casual', 'Colorful', 'Indie', 'Sci-fi', 'Minigames', 'Aliens', 'Top-Down', 'Local Co-Op', 'PvP']"
Sea of Thieves,42677,48207,2021-01-06 13:37:39,https://store.steampowered.com/app/1172620/Sea_of_Thieves/,1172620,"['Adventure', 'Action', 'Multiplayer', 'Pirates', 'Open World', 'Co-op', 'Sailing', 'PvP', 'Online Co-Op', 'First-Person', 'Exploration', 'Naval', 'Funny', 'PvE', 'Massively Multiplayer', 'Atmospheric', 'Swordplay', 'Great Soundtrack', 'FPS', 'Singleplayer']"
Euro Truck Simulator 2,42458,45721,2021-01-06 13:37:39,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/,227300,"['Simulation', 'Driving', 'Automobile Sim', 'Open World', 'Realistic', 'Relaxing', 'Singleplayer', 'Moddable', 'Exploration', 'First-Person', 'Economy', 'Atmospheric', 'Adventure', 'Indie', 'Management', 'Casual', 'TrackIR', 'Sandbox', 'Racing', 'RPG']"
Dead by Daylight,42122,47440,2021-01-06 13:37:39,https://store.steampowered.com/app/381210/Dead_by_Daylight/,381210,"['Horror', 'Survival Horror', 'Multiplayer', 'Online Co-Op', 'Survival', 'Stealth', 'Gore', 'Blood', 'Co-op', 'Third Person', 'Team-Based', 'Violent', 'First-Person', 'Action', 'Atmospheric', 'Psychological Horror', 'Strategy', 'Comedy', 'Mature', 'Difficult']"
Terraria,41348,42705,2021-01-06 13:37:39,https://store.steampowered.com/app/105600/Terraria/,105600,"['Open World Survival Craft', 'Sandbox', 'Survival', '2D', 'Multiplayer', 'Adventure', 'Crafting', 'Building', 'Pixel Graphics', 'Exploration', 'Co-op', 'Open World', 'Indie', 'Online Co-Op', 'Action', 'RPG', 'Singleplayer', 'Platformer', 'Replay Value', 'Atmospheric']"
Wallpaper Engine,40940,60287,2021-01-06 13:37:39,https://store.steampowered.com/app/431960/Wallpaper_Engine/,431960,"['Utilities', 'Mature', 'Software', 'Anime', 'Design & Illustration', 'Animation & Modeling', 'Memes', 'Early Access', 'Cute', 'Casual', 'Funny', 'Action', 'Singleplayer', 'Music', 'Indie', 'Sandbox', 'NSFW', 'Photo Editing', 'Game Development', 'Horror']"
Garry's Mod,39809,40588,2021-01-06 13:37:39,https://store.steampowered.com/app/4000/Garrys_Mod/,4000,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Comedy', 'Co-op', 'Mod', 'First-Person', 'Physics', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Action', 'Shooter', 'Animation & Modeling', 'Indie', 'Massively Multiplayer', 'Adventure']"
DayZ,39577,42503,2021-01-06 13:37:39,https://store.steampowered.com/app/221100/DayZ/,221100,"['Survival', 'Zombies', 'Multiplayer', 'Open World', 'Action', 'PvP', 'Shooter', 'Massively Multiplayer', 'Horror', 'Simulation', 'Early Access', 'Post-apocalyptic', 'FPS', 'First-Person', 'Survival Horror', 'Sandbox', 'Adventure', 'Co-op', 'Indie', 'Atmospheric']"
Sid Meier's Civilization VI,39277,44235,2021-01-06 13:37:39,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/,289070,"['Strategy', 'Turn-Based Strategy', 'Historical', 'Multiplayer', 'Singleplayer', 'Turn-Based', 'Grand Strategy', '4X', 'War', 'Simulation', 'Tactical', 'City Builder', 'Great Soundtrack', 'Moddable', 'Online Co-Op', 'Building', 'Co-op', 'Management', 'Hex Grid', 'Atmospheric']"
PAYDAY 2,36639,40092,2021-01-06 13:37:39,https://store.steampowered.com/app/218620/PAYDAY_2/,218620,"['Co-op', 'Action', 'FPS', 'Heist', 'Looter Shooter', 'Online Co-Op', 'Stealth', 'Multiplayer', 'Crime', 'Shooter', 'Team-Based', 'First-Person', 'Great Soundtrack', 'Gun Customization', 'Tactical', 'PvE', 'Strategy', 'Singleplayer', 'Simulation', 'Funny']"
